DeepJet;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, comb, central, 1, -2.5, 2.5, 20, 1000, 0, 1, "0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))" 
0, comb, central, 0, -2.5, 2.5, 20, 1000, 0, 1, "0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))" 
0, comb, down, 1, -2.5, 2.5, 20, 30, 0, 1, "0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))-0.054521717131137848" 
0, comb, down, 1, -2.5, 2.5, 30, 50, 0, 1, "0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))-0.016713488847017288" 
0, comb, down, 1, -2.5, 2.5, 50, 70, 0, 1, "0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))-0.024431154131889343" 
0, comb, down, 1, -2.5, 2.5, 70, 100, 0, 1, "0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))-0.03021634928882122" 
0, comb, down, 1, -2.5, 2.5, 100, 140, 0, 1, "0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))-0.024482157081365585" 
0, comb, down, 1, -2.5, 2.5, 140, 200, 0, 1, "0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))-0.025664824992418289" 
0, comb, down, 1, -2.5, 2.5, 200, 300, 0, 1, "0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))-0.13388586044311523" 
0, comb, down, 1, -2.5, 2.5, 300, 600, 0, 1, "0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))-0.075516723096370697" 
0, comb, down, 1, -2.5, 2.5, 600, 1000, 0, 1, "0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))-0.19868740439414978" 
0, comb, down, 0, -2.5, 2.5, 20, 30, 0, 1, "0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))-0.021808687597513199" 
0, comb, down, 0, -2.5, 2.5, 30, 50, 0, 1, "0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))-0.0066853957250714302" 
0, comb, down, 0, -2.5, 2.5, 50, 70, 0, 1, "0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))-0.0097724618390202522" 
0, comb, down, 0, -2.5, 2.5, 70, 100, 0, 1, "0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))-0.012086539529263973" 
0, comb, down, 0, -2.5, 2.5, 100, 140, 0, 1, "0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))-0.0097928624600172043" 
0, comb, down, 0, -2.5, 2.5, 140, 200, 0, 1, "0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))-0.010265929624438286" 
0, comb, down, 0, -2.5, 2.5, 200, 300, 0, 1, "0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))-0.053554344922304153" 
0, comb, down, 0, -2.5, 2.5, 300, 600, 0, 1, "0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))-0.030206689611077309" 
0, comb, down, 0, -2.5, 2.5, 600, 1000, 0, 1, "0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))-0.079474963247776031" 
0, comb, down_correlated, 1, -2.5, 2.5, 100, 140, 0, 1, "0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))-0.00661851727828" 
0, comb, down_correlated, 1, -2.5, 2.5, 70, 100, 0, 1, "0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))-0.0179857329003" 
0, comb, down_correlated, 1, -2.5, 2.5, 200, 300, 0, 1, "0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))-0.128701375981" 
0, comb, down_correlated, 1, -2.5, 2.5, 300, 600, 0, 1, "0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))-0.060087280691" 
0, comb, down_correlated, 1, -2.5, 2.5, 140, 200, 0, 1, "0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))-0.00605740223588" 
0, comb, down_correlated, 1, -2.5, 2.5, 50, 70, 0, 1, "0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))-0.0192642856842" 
0, comb, down_correlated, 1, -2.5, 2.5, 20, 30, 0, 1, "0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))-0.0466762614363" 
0, comb, down_correlated, 1, -2.5, 2.5, 600, 1000, 0, 1, "0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))-0.0962514093264" 
0, comb, down_correlated, 1, -2.5, 2.5, 30, 50, 0, 1, "0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))-0.0142801043013" 
0, comb, down_correlated, 0, -2.5, 2.5, 100, 140, 0, 1, "0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))-0.00264740685102" 
0, comb, down_correlated, 0, -2.5, 2.5, 70, 100, 0, 1, "0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))-0.00719429234844" 
0, comb, down_correlated, 0, -2.5, 2.5, 200, 300, 0, 1, "0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))-0.0514805512201" 
0, comb, down_correlated, 0, -2.5, 2.5, 300, 600, 0, 1, "0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))-0.0240349127938" 
0, comb, down_correlated, 0, -2.5, 2.5, 140, 200, 0, 1, "0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))-0.00242295931546" 
0, comb, down_correlated, 0, -2.5, 2.5, 50, 70, 0, 1, "0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))-0.00770571450745" 
0, comb, down_correlated, 0, -2.5, 2.5, 20, 30, 0, 1, "0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))-0.0186705055336" 
0, comb, down_correlated, 0, -2.5, 2.5, 600, 1000, 0, 1, "0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))-0.0385005614298" 
0, comb, down_correlated, 0, -2.5, 2.5, 30, 50, 0, 1, "0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))-0.00571204197275" 
0, comb, down_uncorrelated, 1, -2.5, 2.5, 100, 140, 0, 1, "0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))-0.0235705588477" 
0, comb, down_uncorrelated, 1, -2.5, 2.5, 70, 100, 0, 1, "0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))-0.0242804690314" 
0, comb, down_uncorrelated, 1, -2.5, 2.5, 200, 300, 0, 1, "0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))-0.0368968758455" 
0, comb, down_uncorrelated, 1, -2.5, 2.5, 300, 600, 0, 1, "0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))-0.0457416021404" 
0, comb, down_uncorrelated, 1, -2.5, 2.5, 140, 200, 0, 1, "0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))-0.0249397497992" 
0, comb, down_uncorrelated, 1, -2.5, 2.5, 50, 70, 0, 1, "0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))-0.0150255978016" 
0, comb, down_uncorrelated, 1, -2.5, 2.5, 20, 30, 0, 1, "0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))-0.0281770164719" 
0, comb, down_uncorrelated, 1, -2.5, 2.5, 600, 1000, 0, 1, "0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))-0.173817003966" 
0, comb, down_uncorrelated, 1, -2.5, 2.5, 30, 50, 0, 1, "0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))-0.00868443035453" 
0, comb, down_uncorrelated, 0, -2.5, 2.5, 100, 140, 0, 1, "0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))-0.00942822316908" 
0, comb, down_uncorrelated, 0, -2.5, 2.5, 70, 100, 0, 1, "0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))-0.00971218798199" 
0, comb, down_uncorrelated, 0, -2.5, 2.5, 200, 300, 0, 1, "0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))-0.0147587501547" 
0, comb, down_uncorrelated, 0, -2.5, 2.5, 300, 600, 0, 1, "0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))-0.0182966407916" 
0, comb, down_uncorrelated, 0, -2.5, 2.5, 140, 200, 0, 1, "0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))-0.00997589991978" 
0, comb, down_uncorrelated, 0, -2.5, 2.5, 50, 70, 0, 1, "0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))-0.00601023912376" 
0, comb, down_uncorrelated, 0, -2.5, 2.5, 20, 30, 0, 1, "0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))-0.0112708064417" 
0, comb, down_uncorrelated, 0, -2.5, 2.5, 600, 1000, 0, 1, "0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))-0.0695268045636" 
0, comb, down_uncorrelated, 0, -2.5, 2.5, 30, 50, 0, 1, "0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))-0.00347377208555" 
0, comb, up, 1, -2.5, 2.5, 20, 30, 0, 1, "0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))+0.054521717131137848" 
0, comb, up, 1, -2.5, 2.5, 30, 50, 0, 1, "0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))+0.016713488847017288" 
0, comb, up, 1, -2.5, 2.5, 50, 70, 0, 1, "0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))+0.024431154131889343" 
0, comb, up, 1, -2.5, 2.5, 70, 100, 0, 1, "0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))+0.03021634928882122" 
0, comb, up, 1, -2.5, 2.5, 100, 140, 0, 1, "0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))+0.024482157081365585" 
0, comb, up, 1, -2.5, 2.5, 140, 200, 0, 1, "0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))+0.025664824992418289" 
0, comb, up, 1, -2.5, 2.5, 200, 300, 0, 1, "0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))+0.13388586044311523" 
0, comb, up, 1, -2.5, 2.5, 300, 600, 0, 1, "0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))+0.075516723096370697" 
0, comb, up, 1, -2.5, 2.5, 600, 1000, 0, 1, "0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))+0.19868740439414978" 
0, comb, up, 0, -2.5, 2.5, 20, 30, 0, 1, "0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))+0.021808687597513199" 
0, comb, up, 0, -2.5, 2.5, 30, 50, 0, 1, "0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))+0.0066853957250714302" 
0, comb, up, 0, -2.5, 2.5, 50, 70, 0, 1, "0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))+0.0097724618390202522" 
0, comb, up, 0, -2.5, 2.5, 70, 100, 0, 1, "0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))+0.012086539529263973" 
0, comb, up, 0, -2.5, 2.5, 100, 140, 0, 1, "0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))+0.0097928624600172043" 
0, comb, up, 0, -2.5, 2.5, 140, 200, 0, 1, "0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))+0.010265929624438286" 
0, comb, up, 0, -2.5, 2.5, 200, 300, 0, 1, "0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))+0.053554344922304153" 
0, comb, up, 0, -2.5, 2.5, 300, 600, 0, 1, "0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))+0.030206689611077309" 
0, comb, up, 0, -2.5, 2.5, 600, 1000, 0, 1, "0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))+0.079474963247776031" 
0, comb, up_correlated, 1, -2.5, 2.5, 100, 140, 0, 1, "0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))+0.00661851727828" 
0, comb, up_correlated, 1, -2.5, 2.5, 70, 100, 0, 1, "0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))+0.0179857329003" 
0, comb, up_correlated, 1, -2.5, 2.5, 200, 300, 0, 1, "0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))+0.128701375981" 
0, comb, up_correlated, 1, -2.5, 2.5, 300, 600, 0, 1, "0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))+0.060087280691" 
0, comb, up_correlated, 1, -2.5, 2.5, 140, 200, 0, 1, "0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))+0.00605740223588" 
0, comb, up_correlated, 1, -2.5, 2.5, 50, 70, 0, 1, "0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))+0.0192642856842" 
0, comb, up_correlated, 1, -2.5, 2.5, 20, 30, 0, 1, "0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))+0.0466762614363" 
0, comb, up_correlated, 1, -2.5, 2.5, 600, 1000, 0, 1, "0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))+0.0962514093264" 
0, comb, up_correlated, 1, -2.5, 2.5, 30, 50, 0, 1, "0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))+0.0142801043013" 
0, comb, up_correlated, 0, -2.5, 2.5, 100, 140, 0, 1, "0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))+0.00264740685102" 
0, comb, up_correlated, 0, -2.5, 2.5, 70, 100, 0, 1, "0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))+0.00719429234844" 
0, comb, up_correlated, 0, -2.5, 2.5, 200, 300, 0, 1, "0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))+0.0514805512201" 
0, comb, up_correlated, 0, -2.5, 2.5, 300, 600, 0, 1, "0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))+0.0240349127938" 
0, comb, up_correlated, 0, -2.5, 2.5, 140, 200, 0, 1, "0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))+0.00242295931546" 
0, comb, up_correlated, 0, -2.5, 2.5, 50, 70, 0, 1, "0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))+0.00770571450745" 
0, comb, up_correlated, 0, -2.5, 2.5, 20, 30, 0, 1, "0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))+0.0186705055336" 
0, comb, up_correlated, 0, -2.5, 2.5, 600, 1000, 0, 1, "0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))+0.0385005614298" 
0, comb, up_correlated, 0, -2.5, 2.5, 30, 50, 0, 1, "0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))+0.00571204197275" 
0, comb, up_uncorrelated, 1, -2.5, 2.5, 100, 140, 0, 1, "0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))+0.0235705588477" 
0, comb, up_uncorrelated, 1, -2.5, 2.5, 70, 100, 0, 1, "0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))+0.0242804690314" 
0, comb, up_uncorrelated, 1, -2.5, 2.5, 200, 300, 0, 1, "0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))+0.0368968758455" 
0, comb, up_uncorrelated, 1, -2.5, 2.5, 300, 600, 0, 1, "0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))+0.0457416021404" 
0, comb, up_uncorrelated, 1, -2.5, 2.5, 140, 200, 0, 1, "0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))+0.0249397497992" 
0, comb, up_uncorrelated, 1, -2.5, 2.5, 50, 70, 0, 1, "0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))+0.0150255978016" 
0, comb, up_uncorrelated, 1, -2.5, 2.5, 20, 30, 0, 1, "0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))+0.0281770164719" 
0, comb, up_uncorrelated, 1, -2.5, 2.5, 600, 1000, 0, 1, "0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))+0.173817003966" 
0, comb, up_uncorrelated, 1, -2.5, 2.5, 30, 50, 0, 1, "0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))+0.00868443035453" 
0, comb, up_uncorrelated, 0, -2.5, 2.5, 100, 140, 0, 1, "0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))+0.00942822316908" 
0, comb, up_uncorrelated, 0, -2.5, 2.5, 70, 100, 0, 1, "0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))+0.00971218798199" 
0, comb, up_uncorrelated, 0, -2.5, 2.5, 200, 300, 0, 1, "0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))+0.0147587501547" 
0, comb, up_uncorrelated, 0, -2.5, 2.5, 300, 600, 0, 1, "0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))+0.0182966407916" 
0, comb, up_uncorrelated, 0, -2.5, 2.5, 140, 200, 0, 1, "0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))+0.00997589991978" 
0, comb, up_uncorrelated, 0, -2.5, 2.5, 50, 70, 0, 1, "0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))+0.00601023912376" 
0, comb, up_uncorrelated, 0, -2.5, 2.5, 20, 30, 0, 1, "0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))+0.0112708064417" 
0, comb, up_uncorrelated, 0, -2.5, 2.5, 600, 1000, 0, 1, "0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))+0.0695268045636" 
0, comb, up_uncorrelated, 0, -2.5, 2.5, 30, 50, 0, 1, "0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))+0.00347377208555" 
0, mujets, central, 1, -2.5, 2.5, 20, 1000, 0, 1, "1.05497+-0.00298783*log(x+19)*log(x+18)*(3-0.397111*log(x+18))" 
0, mujets, central, 0, -2.5, 2.5, 20, 1000, 0, 1, "1.05497+-0.00298783*log(x+19)*log(x+18)*(3-0.397111*log(x+18))" 
0, mujets, down, 1, -2.5, 2.5, 20, 30, 0, 1, "1.05497+-0.00298783*log(x+19)*log(x+18)*(3-0.397111*log(x+18))-0.056052949279546738" 
0, mujets, down, 1, -2.5, 2.5, 30, 50, 0, 1, "1.05497+-0.00298783*log(x+19)*log(x+18)*(3-0.397111*log(x+18))-0.017827972769737244" 
0, mujets, down, 1, -2.5, 2.5, 50, 70, 0, 1, "1.05497+-0.00298783*log(x+19)*log(x+18)*(3-0.397111*log(x+18))-0.028752945363521576" 
0, mujets, down, 1, -2.5, 2.5, 70, 100, 0, 1, "1.05497+-0.00298783*log(x+19)*log(x+18)*(3-0.397111*log(x+18))-0.054693799465894699" 
0, mujets, down, 1, -2.5, 2.5, 100, 140, 0, 1, "1.05497+-0.00298783*log(x+19)*log(x+18)*(3-0.397111*log(x+18))-0.1091482862830162" 
0, mujets, down, 1, -2.5, 2.5, 140, 200, 0, 1, "1.05497+-0.00298783*log(x+19)*log(x+18)*(3-0.397111*log(x+18))-0.156380295753479" 
0, mujets, down, 1, -2.5, 2.5, 200, 300, 0, 1, "1.05497+-0.00298783*log(x+19)*log(x+18)*(3-0.397111*log(x+18))-0.16991613805294037" 
0, mujets, down, 1, -2.5, 2.5, 300, 600, 0, 1, "1.05497+-0.00298783*log(x+19)*log(x+18)*(3-0.397111*log(x+18))-0.080352798104286194" 
0, mujets, down, 1, -2.5, 2.5, 600, 1000, 0, 1, "1.05497+-0.00298783*log(x+19)*log(x+18)*(3-0.397111*log(x+18))-0.20538398623466492" 
0, mujets, down, 0, -2.5, 2.5, 20, 30, 0, 1, "1.05497+-0.00298783*log(x+19)*log(x+18)*(3-0.397111*log(x+18))-0.022421179339289665" 
0, mujets, down, 0, -2.5, 2.5, 30, 50, 0, 1, "1.05497+-0.00298783*log(x+19)*log(x+18)*(3-0.397111*log(x+18))-0.0071311891078948975" 
0, mujets, down, 0, -2.5, 2.5, 50, 70, 0, 1, "1.05497+-0.00298783*log(x+19)*log(x+18)*(3-0.397111*log(x+18))-0.01150117814540863" 
0, mujets, down, 0, -2.5, 2.5, 70, 100, 0, 1, "1.05497+-0.00298783*log(x+19)*log(x+18)*(3-0.397111*log(x+18))-0.02187751978635788" 
0, mujets, down, 0, -2.5, 2.5, 100, 140, 0, 1, "1.05497+-0.00298783*log(x+19)*log(x+18)*(3-0.397111*log(x+18))-0.043659314513206482" 
0, mujets, down, 0, -2.5, 2.5, 140, 200, 0, 1, "1.05497+-0.00298783*log(x+19)*log(x+18)*(3-0.397111*log(x+18))-0.062552116811275482" 
0, mujets, down, 0, -2.5, 2.5, 200, 300, 0, 1, "1.05497+-0.00298783*log(x+19)*log(x+18)*(3-0.397111*log(x+18))-0.067966453731060028" 
0, mujets, down, 0, -2.5, 2.5, 300, 600, 0, 1, "1.05497+-0.00298783*log(x+19)*log(x+18)*(3-0.397111*log(x+18))-0.032141119241714478" 
0, mujets, down, 0, -2.5, 2.5, 600, 1000, 0, 1, "1.05497+-0.00298783*log(x+19)*log(x+18)*(3-0.397111*log(x+18))-0.082153595983982086" 
0, mujets, down_correlated, 1, -2.5, 2.5, 100, 140, 0, 1, "1.05497+-0.00298783*log(x+19)*log(x+18)*(3-0.397111*log(x+18))-0.0870448210451" 
0, mujets, down_correlated, 1, -2.5, 2.5, 70, 100, 0, 1, "1.05497+-0.00298783*log(x+19)*log(x+18)*(3-0.397111*log(x+18))-0.051491804068" 
